t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz,C11,C12,C44,surrogate_method
0.147857,0.8571,13.3333,5,SC,0.46371,0.95048,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,0.8571,13.3333,5,SC,0.459673,0.954015,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,0.8571,13.3333,5,SC,0.455948,0.951859,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,0.8571,13.3333,5,SC,0.452421,0.946897,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.0357,13.3333,5,SC,0.39533,0.186521,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.0357,13.3333,5,SC,0.401916,0.193437,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.0357,13.3333,5,SC,0.408195,0.202453,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.0357,13.3333,5,SC,0.416208,0.213401,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.0357,13.3333,5,SC,0.426726,0.225965,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.0357,13.3333,5,SC,0.438828,0.239736,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.0357,13.3333,5,SC,0.450309,0.254235,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.0357,13.3333,5,SC,0.45929,0.26894,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.0357,13.3333,5,SC,0.465231,0.283311,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.0357,13.3333,5,SC,0.468552,0.296821,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.0357,13.3333,5,SC,0.469947,0.308982,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.0357,13.3333,5,SC,0.470033,0.319373,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.0357,13.3333,5,SC,0.469266,0.327655,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.0357,13.3333,5,SC,0.46796,0.333589,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.0357,13.3333,5,SC,0.466321,0.337041,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.2143,13.3333,5,SC,0.353361,0.168311,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.2143,13.3333,5,SC,0.363012,0.168139,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.2143,13.3333,5,SC,0.369278,0.168358,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.2143,13.3333,5,SC,0.373368,0.169009,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.2143,13.3333,5,SC,0.376095,0.170035,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.2143,13.3333,5,SC,0.377993,0.171333,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.2143,13.3333,5,SC,0.379403,0.172785,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.2143,13.3333,5,SC,0.38053,0.174271,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.2143,13.3333,5,SC,0.381477,0.17568,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.2143,13.3333,5,SC,0.382284,0.176915,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.2143,13.3333,5,SC,0.382951,0.177896,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.2143,13.3333,5,SC,0.383458,0.17856,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.2143,13.3333,5,SC,0.383782,0.178866,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.2143,13.3333,5,SC,0.38391,0.178793,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.2143,13.3333,5,SC,0.383842,0.178338,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.3929,13.3333,5,SC,0.307076,0.162442,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.3929,13.3333,5,SC,0.320518,0.16144,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.3929,13.3333,5,SC,0.33063,0.160299,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.3929,13.3333,5,SC,0.338292,0.159191,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.3929,13.3333,5,SC,0.344147,0.158189,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.3929,13.3333,5,SC,0.348668,0.157312,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.3929,13.3333,5,SC,0.352207,0.156553,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.3929,13.3333,5,SC,0.355021,0.155893,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.3929,13.3333,5,SC,0.357306,0.15531,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.3929,13.3333,5,SC,0.359209,0.15478,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
