t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.03,2.2857,36.6667,5,FCC_face,0.304638,0.579544
0.03,2.2857,36.6667,10,FCC_face,0.496964,0.337091
0.03,2.2857,36.6667,15,FCC_face,0.59663,0.396583
0.03,2.2857,36.6667,20,FCC_face,0.656476,0.988213
0.03,2.2857,40.0,5,FCC_face,0.370882,0.335318
0.03,2.2857,40.0,10,FCC_face,0.521562,0.441834
0.03,2.2857,40.0,15,FCC_face,0.617288,0.470812
0.03,2.2857,40.0,20,FCC_face,0.666149,0.859426
0.03,2.4643,30.0,5,FCC_face,0.197137,0.096517
0.03,2.4643,30.0,10,FCC_face,0.338029,0.186711
0.03,2.4643,30.0,15,FCC_face,0.455319,0.287407
0.03,2.4643,30.0,20,FCC_face,0.534245,0.411628
0.03,2.4643,33.3333,5,FCC_face,0.240648,0.134708
0.03,2.4643,33.3333,10,FCC_face,0.413575,0.350063
0.03,2.4643,33.3333,15,FCC_face,0.502021,0.656043
0.03,2.4643,33.3333,20,FCC_face,0.593045,0.884181
0.03,2.4643,36.6667,5,FCC_face,0.283745,0.390536
0.03,2.4643,36.6667,10,FCC_face,0.472492,0.474009
0.03,2.4643,36.6667,15,FCC_face,0.560093,0.327516
0.03,2.4643,36.6667,20,FCC_face,0.629958,0.536485
0.03,2.4643,40.0,5,FCC_face,0.343203,0.443911
0.03,2.4643,40.0,10,FCC_face,0.500894,0.271164
0.03,2.4643,40.0,15,FCC_face,0.599457,0.866096
0.03,2.4643,40.0,20,FCC_face,0.656809,0.440641
0.03,2.6429,33.3333,5,FCC_face,0.200935,0.108703
0.03,2.6429,33.3333,10,FCC_face,0.370117,0.234154
0.03,2.6429,33.3333,15,FCC_face,0.473731,0.382248
0.03,2.6429,33.3333,20,FCC_face,0.559839,0.550462
0.03,2.6429,36.6667,5,FCC_face,0.263916,0.255168
0.03,2.6429,36.6667,10,FCC_face,0.419472,0.630333
0.03,2.6429,36.6667,15,FCC_face,0.523265,0.397904
0.03,2.6429,36.6667,20,FCC_face,0.610649,0.369504
0.03,2.6429,40.0,5,FCC_face,0.284912,0.515143
0.03,2.6429,40.0,10,FCC_face,0.470437,0.242277
0.03,2.6429,40.0,15,FCC_face,0.578214,0.722888
0.03,2.6429,40.0,20,FCC_face,0.639397,0.525572
0.03,2.8214,36.6667,5,FCC_face,0.241685,0.178504
0.03,2.8214,36.6667,10,FCC_face,0.379112,0.604038
0.03,2.8214,36.6667,15,FCC_face,0.493597,0.566842
0.03,2.8214,36.6667,20,FCC_face,0.573983,0.415003
0.03,2.8214,40.0,5,FCC_face,0.254413,0.47533
0.03,2.8214,40.0,10,FCC_face,0.433338,0.267706
0.03,2.8214,40.0,15,FCC_face,0.541302,0.384189
0.03,2.8214,40.0,20,FCC_face,0.612052,0.889777
0.03,3.0,36.6667,5,FCC_face,0.215246,0.134716
0.03,3.0,36.6667,10,FCC_face,0.353863,0.43214
0.03,3.0,36.6667,15,FCC_face,0.444997,0.694385
0.03,3.0,36.6667,20,FCC_face,0.549168,0.593705
0.03,3.0,40.0,5,FCC_face,0.236809,0.366922
0.03,3.0,40.0,10,FCC_face,0.412305,0.330019
0.03,3.0,40.0,15,FCC_face,0.515072,0.284484
0.03,3.0,40.0,20,FCC_face,0.583877,0.687473
0.040714,0.5,10.0,5,FCC_face,0.528781,0.936148
0.040714,0.5,10.0,10,FCC_face,0.651528,0.391913
0.040714,0.5,10.0,15,FCC_face,0.684697,0.922543
0.040714,0.5,10.0,20,FCC_face,0.724619,0.599697
0.040714,0.5,13.3333,5,FCC_face,0.616876,0.388451
0.040714,0.5,13.3333,10,FCC_face,0.608086,0.753347
0.040714,0.5,13.3333,15,FCC_face,0.651354,0.735199
0.040714,0.5,13.3333,20,FCC_face,0.647042,0.636199
0.040714,0.5,16.6667,5,FCC_face,0.514561,0.542894
0.040714,0.5,16.6667,10,FCC_face,0.551648,0.647301
0.040714,0.5,16.6667,15,FCC_face,0.548205,0.582644
0.040714,0.5,16.6667,20,FCC_face,0.549906,0.565811
0.040714,0.5,20.0,5,FCC_face,0.412987,0.418737
0.040714,0.5,20.0,10,FCC_face,0.421567,0.503278
0.040714,0.5,20.0,15,FCC_face,0.423064,0.485758
0.040714,0.5,20.0,20,FCC_face,0.423254,0.484778
0.040714,0.5,23.3333,5,FCC_face,0.282095,0.416496
0.040714,0.5,23.3333,10,FCC_face,0.279225,0.386535
0.040714,0.5,23.3333,15,FCC_face,0.27897,0.388459
0.040714,0.5,23.3333,20,FCC_face,0.27897,0.388407
0.040714,0.5,26.6667,5,FCC_face,0.18039,0.262434
0.040714,0.5,26.6667,10,FCC_face,0.181156,0.260362
0.040714,0.5,26.6667,15,FCC_face,0.181125,0.260363
0.040714,0.5,26.6667,20,FCC_face,0.181127,0.260363
